ActivityStartDate,mo,day,date,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure_MeasureUnitCode,ResultStatusIdentifier,HUCEightDigitCode,DrainageAreaMeasure_MeasureValue,DrainageAreaMeasure_MeasureUnitCode,SITE_ID,YEAR,PFOR,PWETL,PURB,PAGT,HUC8,HUC8_NM,HUC2,STRAHLER,ST_ORDER
2001-02-07,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-02-07,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-02-07,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2001-02-07,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2001-02-07,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2001-04-19,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-04-19,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-04-19,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2001-04-19,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2001-04-19,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2001-09-04,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-09-04,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-09-04,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2001-09-04,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2001-09-04,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2001-12-20,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-12-20,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2001-12-20,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2001-12-20,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2001-12-20,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2002-06-11,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-06-11,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-06-11,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2002-06-11,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2002-06-11,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2002-09-06,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-09-06,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-09-06,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2002-09-06,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2002-09-06,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2003-06-04,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2003-06-04,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2003-06-04,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2003-06-04,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2003-06-04,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
