SITE_ID,YEAR,VISIT_NO,SITENAME,SITETYPE,REPEAT,LON_DD,LAT_DD,XLON_DD,XLAT_DD,XCOORD_SOURCE,STRAHLER,ST_ORDER,DATE_COL,USED,SITESAMP,FLOWSITE,XSTATUS,VALXSTAT,EVALSTATUS,TNT,STRATUM,WGT_WSA,INDXVIS_EXTENT,SAMPCHEM,INDXVIS_CHEM,INDEXYR_CHEM,INDEXVIS_CHEM,SAMPBENT,INDEX_SAMPTYPE,INDEXYR_BENT,INDEXVIS_BENT,INDXVIS_BENT,SAMPPHAB,INDXVIS_PHAB,INDEXYR_PHAB,INDEXVIS_PHAB,STATE,STATE_NM,COUNTY,EPAREGION,WESTEAST,RT_WSA,XELEV,WSAREA,ECO3,ECO3_NM,ECOWSA9,ECOWSA3,NAECO3,NAECO2,NAECO2_NM,NAECO1,ECOREPORT,HUC2,HUC4,HUC6,HUC8,HUC8_NM,SITE_ID:1,YEAR:1,VISIT_NO:1,LANDAREA,PFOR,PWETL,PURB,PAGT,RDDENS,POPDENS,ELEV,"PRECIP_M"""
OWW04440-1037,2004,1,NEGRITOS CREEK,EASTPROB, ,-108.635407,33.608612,-108.63562,33.60841,GPS,4,4th,10/21/04,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,East,357.5051642,YES, ,YES,2004,1,YES,REACHWIDE,2004,1,YES, ,YES,2004,1,NM,NEW MEXICO,CATRON,REGION__6,EAST,T,2016,310.02,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1504,150400,15040004,SAN FRANCISCO,OWW04440-1037,2004,1,310.02,83,0,0.01,0,0.48,0.17,2016,0.655
WAZP99-0512,2000,1,GILA RIVER,WESTPROB, ,-109.19751,32.87094,-109.198611,32.870833,GPS,7,5th +,6/4/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661016,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,GREENLEE,REGION__9,WEST,T,1065,9935.4834,79,MADREAN ARCHIPELAGO,XER,WMTNS,12.1.1,12.1,MEXICAN HIGH PLATEAU,12,NORTH AMERICAN DESERTS,15,1504,150400,15040002,UPPER GILA-MANGAS,WAZP99-0512,2000,1,9935.48,38.79,0.01,0.02,0.53,0.39,0.38,1065,0.449
WAZP99-0539,2000,1,WEST CLEAR CREEK,WESTPROB,Y,-111.78366,34.52014,-111.783889,34.52,GPS,4,4th,5/22/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661016,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,YAVAPAI,REGION__9,WEST,S,963,707.8736,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150602,15060203,LOWER VERDE,WAZP99-0539,2000,1,707.87,84.58,0,0.01,0,0.83,0.08,963,0.655
WAZP99-0545,2000,1,BLACK RIVER,WESTPROB, ,-109.35581,33.9124,-109.355833,33.912222,GPS,3,3rd,6/5/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,APACHE,REGION__9,WEST,T,2649,84.8935,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060101,BLACK,WAZP99-0545,2000,1,84.89,36.68,0.16,0,0,0.79,0,2649,0.73
WAZP99-0551,2000,2,COON CREEK,WESTPROB,Y,-110.84657,33.71258,-110.897778,33.713611,GPS,2,2nd,6/2/00,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2000,1,YES,REACHWIDE,2000,1,NO,YES,NO,2000,1,AZ,ARIZONA,GILA,REGION__9,WEST,R,921,28.6122,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060103,UPPER SALT,WAZP99-0551,2000,1,28.61,58.63,0,0.03,0,0.18,0.03,921,0.637
WAZP99-0551,2001,2,COON CREEK,WESTPROB,Y,-110.84657,33.71258,-110.84657,33.71258,GPS,2,2nd,6/21/01,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2000,1,YES,REACHWIDE,2000,1,NO,YES,NO,2000,1,AZ,ARIZONA,GILA,REGION__9,WEST,R,921,28.6122,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060103,UPPER SALT,WAZP99-0551,2000,1,28.61,58.63,0,0.03,0,0.18,0.03,921,0.637
WAZP99-0569,2000,1,KP CREEK,WESTPROB, ,-109.32201,33.59193,-109.321944,33.592222,GPS,2,2nd,6/6/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,52.98700563,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,GREENLEE,REGION__9,WEST,R,2460,6.9884,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1504,150400,15040004,SAN FRANCISCO,WAZP99-0569,2000,1,6.98,75.36,0,0,0,1.51,0,2460,0.784
WAZP99-0598,2000,1,CANYON CREEK,WESTPROB, ,-110.81325,34.29193,-110.813333,34.291944,GPS,2,2nd,5/23/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,52.98700563,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,COCONINO,REGION__9,WEST,R,2033,16.8874,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060103,UPPER SALT,WAZP99-0598,2000,1,16.88,94.57,0,0.25,0,1.09,0.59,2033,0.821
WAZP99-0605,2000,1,BLUE RIVER,WESTPROB, ,-109.1817,33.46021,-109.181944,33.460278,GPS,4,4th,6/7/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661016,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,GREENLEE,REGION__9,WEST,T,1457,905.0613,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1504,150400,15040004,SAN FRANCISCO,WAZP99-0605,2000,1,905.06,83.55,0,0,0.01,0.34,0.09,1457,0.587
WAZP99-0619,2000,1,VERDE RIVER,WESTPROB, ,-111.95341,34.67929,-111.953611,34.679167,GPS,5,5th +,6/19/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661016,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,AZ,ARIZONA,YAVAPAI,REGION__9,WEST,T,969,9460.481,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150602,15060202,UPPER VERDE,WAZP99-0619,2000,1,9460.48,38.21,0,0.42,0.33,0.93,6.36,969,0.427
