,MonitoringLocationIdentifier,AvgLat,AvgLong
1,USGS-09010500,40.3258178,-105.8566791
2,USGS-09011000,40.2188742,-105.8575127
3,USGS-09012400,40.2685961,-105.8194557
4,USGS-09012500,40.25085,-105.8144444
5,USGS-09013500,40.2363741,-105.7983437
6,USGS-09014000,40.2447074,-105.8264005
7,USGS-09015000,40.2051944,-105.8375611
8,USGS-09016500,40.1124861,-105.7497297
9,USGS-09018000,40.1880411,-105.895014
10,USGS-09019000,40.1441524,-105.8672348
11,USGS-09022000,39.8458204,-105.7519507
12,USGS-09023750,39.8930278,-105.76475
13,USGS-09025010,39.9277647,-105.786119
14,USGS-09025300,39.8894312,-105.8325098
15,USGS-09026500,39.9099866,-105.8783451
16,USGS-09027100,39.9903333,-105.8297778
17,USGS-09032000,39.9499869,-105.7655627
18,USGS-09032100,39.9858203,-105.7450064
19,USGS-09033100,39.9990056,-105.8280944
20,USGS-09033300,40.0068917,-105.8482722
21,USGS-09034250,40.108319,-106.0041847
22,USGS-09036000,39.833875,-106.0564079
23,USGS-09041090,40.2024844,-106.4225335
24,USGS-09041400,40.1085963,-106.4139212
25,USGS-09058000,40.0366525,-106.4400324
26,USGS-09073300,39.1410996,-106.7742039
27,USGS-09077800,39.2416544,-106.5930874
28,USGS-09080100,39.3624857,-106.732536
29,USGS-09080400,39.3655408,-106.8255948
30,USGS-09081000,39.3733173,-107.0839367
31,USGS-09081600,39.2326389,-107.2275
32,USGS-09083800,39.4080387,-107.23033
33,USGS-09085000,39.5435931,-107.3294984
34,USGS-09085150,39.5616667,-107.4066667
35,USGS-09095300,39.3747007,-108.3178636
36,USGS-09095500,39.2391463,-108.2661946
37,USGS-09107000,38.8602713,-106.5666966
38,USGS-09109000,38.8183269,-106.6091977
39,USGS-09110000,38.6644372,-106.8453172
40,USGS-09111500,38.8697146,-106.969489
41,USGS-09111700,38.8366667,-106.9366667
42,USGS-09112200,38.7841599,-106.8708736
43,USGS-09112500,38.6644372,-106.848095
44,USGS-09137500,38.7727612,-108.0025667
45,USGS-09144200,38.787761,-107.9953444
46,USGS-09144250,38.7530394,-108.078403
47,USGS-09150500,38.7349843,-108.1617399
48,USGS-09152500,38.9833158,-108.4506446
49,USGS-09196500,43.0270556,-109.7735278
50,USGS-09205000,42.567166,-109.930151
51,USGS-09209400,42.1927216,-110.163214
52,USGS-09237450,40.2642611,-106.8917667
53,USGS-09237500,40.2865444,-106.8290556
54,USGS-09238900,40.4749775,-106.7869926
55,USGS-09239500,40.4829861,-106.8324306
56,USGS-09242000,40.5655307,-106.8892167
57,USGS-09242500,40.5146975,-106.9539407
58,USGS-09244410,40.4883078,-107.1597784
59,USGS-09244490,40.5179306,-107.3989444
60,USGS-09246200,40.5916388,-107.3208933
61,USGS-09246400,40.5447222,-107.3980556
62,USGS-09247600,40.4808048,-107.6142338
63,USGS-09249750,40.4371942,-107.6478456
64,USGS-09265300,40.6796794,-109.6609775
65,USGS-09306200,39.9210833,-108.2975876
66,USGS-09306222,40.0780264,-108.2364753
67,USGS-09306242,39.9202502,-108.4728719
68,USGS-09306255,40.1685813,-108.4012046
69,USGS-09328500,38.8583081,-110.3701469
70,USGS-09405500,37.2097046,-112.9785512
71,USGS-09415000,36.8916437,-113.9244098
72,USGS-09431500,32.7269444,-108.6755556
73,USGS-09432000,32.648132,-108.8458906
74,USGS-09444000,33.2471667,-108.88
75,USGS-09498400,33.5731068,-110.9012251
76,USGS-09498500,33.6194949,-110.9215037
77,USGS-09502960,34.5519686,-112.4623913
78,USGS-09504000,34.8522416,-112.065994
79,USGS-09505800,34.5386361,-111.6940356
80,USGS-09507980,34.2764207,-111.6387561
81,USGS-09508300,34.1608679,-111.6929235
82,USGS-09508500,34.0730922,-111.7162569
83,USGS-09510000,33.8083751,-111.6634729
84,USGS-384448108070301,38.7466507,-108.1181269
85,USGS-384452108071101,38.7479111,-108.1199972
86,USGS-384527108152701,38.7574843,-108.2581329
87,USGS-384624107570701,38.7733169,-107.9525652
88,USGS-384950106544200,38.8138819,-106.899486
89,USGS-385011108225401,38.8364528,-108.3815778
90,USGS-385106106571000,38.8516593,-106.9533773
91,USGS-385224106590100,38.8733257,-106.9842119
92,USGS-385240106583600,38.8894366,-106.997268
93,USGS-385325106581200,38.8902699,-106.9706002
94,USGS-385408106543600,38.8808256,-106.908931
95,USGS-395927105505700,39.9908199,-105.849733
96,USGS-395930105510700,39.9916532,-105.852511
97,USGS-400453105554200,40.0813748,-105.9289036
98,USGS-401634106502200,40.2760928,-106.8400466
99,USGS-402544106493600,40.4288671,-106.8272706
100,USGS-402840107004200,40.4777533,-107.012275
101,USGS-404417108524900,40.7380556,-108.8802778
