HUC8,STRAHLER2
14010001,2
14010004,1
14010005,3
14020001,2
14020005,2
14030002,3.5
14030003,3
14030005,4
14040101,3
14040102,3
14040106,2
14040107,3
14040108,3
14050001,3
14050003,1
14050006,3
14060002,2
14060003,3.75
14060006,3
14060009,3.5
14070003,3
14070005,5
14080107,3
14080204,2.666666667
15010001,3
15010008,4
15010010,1
15010011,2
15010013,2.333333333
15020001,4
15030202,5
15040002,7
15040004,3.333333333
15060101,2.666666667
15060103,2.4
15060105,4.333333333
15060202,5
15060203,4
15070102,3
