"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1",0,2.4,195,15060103,"2001-02-07T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"2",0,2.4,195,15060103,"2001-04-19T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"3",0,2.4,195,15060103,"2001-09-04T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"4",0,2.4,195,15060103,"2001-12-20T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"5",0,2.4,195,15060103,"2002-06-11T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"6",0,2.4,195,15060103,"2002-09-06T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"7",0,2.4,195,15060103,"2003-06-04T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"8",0,2.4,195,15060103,"2000-12-14T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"9",0.03,2.4,195,15060103,"2000-02-15T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"10",0,2.4,195,15060103,"2000-04-18T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"11",0,2.4,195,15060103,"2000-07-19T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"12",0,2.4,195,15060103,"2002-03-29T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"13",0,2.4,195,15060103,"2003-02-20T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"14",0,2.4,195,15060103,"2002-12-04T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.5731068,-110.9012251,"USGS-09498400"
"15",0,5,30,15060202,"2001-04-11T00:00:00Z","Dissolved",57.65,0.026666667,0.506666667,0.11,34.5519686,-112.4623913,"USGS-09502960"
"16",0.08,5,30,15060202,"2001-04-11T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.5519686,-112.4623913,"USGS-09502960"
"17",0.007,4,36.4,15060203,"2012-02-28T00:00:00Z","Total",84.58,0,0.01,0,34.1608679,-111.6929235,"USGS-09508300"
"18",0.02,4,5858,15060203,"2003-05-29T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"19",0.03,4,5858,15060203,"2003-07-29T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"20",0.11,4,5858,15060203,"2003-03-14T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"21",0.1,4,5858,15060203,"2007-03-28T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"22",0.04,4,5858,15060203,"2007-07-06T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"23",0.26,4,5858,15060203,"2007-09-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"24",0.04,4,5858,15060203,"2011-03-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"25",0.03,4,5858,15060203,"2010-05-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"26",0.04,4,5858,15060203,"2009-08-25T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"27",0.23,4,5858,15060203,"2009-02-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"28",0.07,4,5858,15060203,"2010-03-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"29",0.03,4,5858,15060203,"2012-06-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"30",0.06,4,5858,15060203,"2010-08-31T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"31",0.01,4,5858,15060203,"2010-12-14T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"32",0.14,4,5858,15060203,"2004-08-13T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"33",0,4,5858,15060203,"2004-02-18T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"34",0.02,4,5858,15060203,"2004-06-02T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"35",0.09,4,5858,15060203,"2009-05-27T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"36",0.04,4,5858,15060203,"2004-12-09T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"37",0.1,4,5858,15060203,"2012-03-27T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"38",0,4,5858,15060203,"2012-12-04T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"39",0.01,4,5858,15060203,"2009-12-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"40",0.03,4,5858,15060203,"2008-06-25T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"41",0.08,4,5858,15060203,"2008-09-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"42",0.04,4,5858,15060203,"2008-03-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"43",0.05,4,5858,15060203,"2016-06-17T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"44",0.02,4,5858,15060203,"2008-11-26T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"45",0.3,4,5858,15060203,"2012-08-28T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"46",0.06,4,5858,15060203,"2016-03-23T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"47",0.08,4,5858,15060203,"2014-06-27T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"48",0,4,5858,15060203,"2014-02-04T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"49",0.02,4,5858,15060203,"2015-12-10T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"50",0.08,4,5858,15060203,"2015-09-01T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"51",0.06,4,5858,15060203,"2013-02-05T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"52",0.09,4,5858,15060203,"2013-08-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"53",0.01,4,5858,15060203,"2013-11-05T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"54",0.04,4,5858,15060203,"2013-06-04T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"55",0,4,5858,15060203,"2001-02-27T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"56",0.03,4,5858,15060203,"2001-06-21T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"57",0,4,5858,15060203,"2001-12-18T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"58",0.17,2.4,4306,15060103,"2001-04-18T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"59",0.15,2.4,4306,15060103,"2017-03-14T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"60",0.1,2.4,4306,15060103,"2001-09-05T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"61",0,2.4,4306,15060103,"2001-02-06T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"62",0,2.4,4306,15060103,"2001-12-19T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"63",0.02,2.4,4306,15060103,"2002-10-10T00:00:00Z","Dissolved",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"64",0.03,2.4,4306,15060103,"2002-10-10T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"65",0.11,2.4,4306,15060103,"2003-02-19T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"66",0,2.4,4306,15060103,"2003-12-05T00:00:00Z","Dissolved",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"67",0,2.4,4306,15060103,"2003-12-05T00:00:00Z","Total",73.918,0.01,0.132,0.076,33.6194949,-110.9215037,"USGS-09498500"
"68",0.05,4,5858,15060203,"2001-09-11T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"69",0,4,5858,15060203,"2002-10-31T00:00:00Z","Dissolved",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"70",0.02,4,5858,15060203,"2002-10-31T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"71",0.14,4,5858,15060203,"2000-08-30T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
"72",0.04,4,5858,15060203,"2000-03-29T00:00:00Z","Total",84.58,0,0.01,0,34.0730922,-111.7162569,"USGS-09508500"
