ActivityStartDate,mo,day,date,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure2,ResultMeasure_MeasureUnitCode,ResultStatusIdentifier,HUCEightDigitCode,DrainageAreaMeasure_MeasureValue,DrainageAreaMeasure_MeasureUnitCode,HUC8,PFOR2,PWETL2,PURB2,PAGT2
2/7/01,2,7,2001-02-07T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
4/19/01,4,19,2001-04-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
9/4/01,9,4,2001-09-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
12/20/01,12,20,2001-12-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
6/11/02,6,11,2002-06-11T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
9/6/02,9,6,2002-09-06T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
6/4/03,6,4,2003-06-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
12/14/00,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
2/15/00,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
4/18/00,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
7/19/00,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
3/29/02,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
2/20/03,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
12/4/02,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,195,sq mi,15060103,73.918,0.01,0.132,0.076
4/11/01,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,0,,Preliminary,15060202,30,sq mi,15060202,57.65,0.026666667,0.506666667,0.11
4/11/01,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,0.08,mg/l as P,Preliminary,15060202,30,sq mi,15060202,57.65,0.026666667,0.506666667,0.11
2/28/12,2,28,2012-02-28T00:00:00Z,USGS-09508300,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.007,0.007,mg/l as P,Accepted,15060203,36.4,sq mi,15060203,84.58,0,0.01,0
5/29/03,5,29,2003-05-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
